id,intakereason,breedname,speciesname,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47698,Stray,Domestic Short Hair,Cat,Female,Foster,03/21/2017,03/26/2017,Adult,Mature,3,26,2017,3,21,2017
47698,Stray,Domestic Short Hair,Cat,Female,Adoption,03/21/2017,06/21/2017,Adult,Mature,6,21,2017,3,21,2017
47702,Abandoned,Boxer/Shep Mix,Dog,Female,Adoption,03/21/2017,04/08/2017,Mature,Senior,4,8,2017,3,21,2017
47703,Abandoned,Domestic Long Hair,Cat,Female,Foster,03/21/2017,04/08/2017,Adult,Adult,4,8,2017,3,21,2017
47703,Abandoned,Domestic Long Hair,Cat,Female,Adoption,03/21/2017,05/03/2017,Adult,Adult,5,3,2017,3,21,2017
47704,Abandoned,Chihuahua/Mix,Dog,Male,Adoption,03/21/2017,04/12/2017,Adult,Adult,4,12,2017,3,21,2017
47707,Abandoned,DMH/DSH,Cat,Male,Foster,03/22/2017,04/06/2017,Adult,Adult,4,6,2017,3,22,2017
47707,Abandoned,DMH/DSH,Cat,Male,Adoption,03/22/2017,05/16/2017,Adult,Adult,5,16,2017,3,22,2017
47708,Abandoned,DMH/DSH,Cat,Male,Foster,03/22/2017,04/06/2017,Adult,Adult,4,6,2017,3,22,2017
47708,Abandoned,DMH/DSH,Cat,Male,Adoption,03/22/2017,05/23/2017,Adult,Adult,5,23,2017,3,22,2017
47710,Abandoned,Pitbull,Dog,Male,Reclaimed,03/22/2017,04/02/2017,Mature,Mature,4,2,2017,3,22,2017
47712,Stray,Pomeranian/Siberian Husky,Dog,Female,Adoption,03/23/2017,03/31/2017,Adult,Adult,3,31,2017,3,23,2017
47712,Stray,Pomeranian/Siberian Husky,Dog,Female,Adoption,03/23/2017,08/19/2017,Adult,Adult,8,19,2017,3,23,2017
47712,Stray,Pomeranian/Siberian Husky,Dog,Female,Reclaimed,03/23/2017,03/30/2018,Adult,Adult,3,30,2018,3,23,2017
47714,Abandoned,Pitbull,Dog,Male,Adoption,03/23/2017,05/20/2017,Adult,Mature,5,20,2017,3,23,2017
47715,Abandoned,Pitbull/Mix,Dog,Female,Foster,03/23/2017,05/11/2017,Mature,Mature,5,11,2017,3,23,2017
47715,Abandoned,Pitbull/Mix,Dog,Female,Adoption,03/23/2017,07/09/2017,Mature,Mature,7,9,2017,3,23,2017
47717,Police Assist,Pitbull/Mix,Dog,Female,Adoption,03/23/2017,06/07/2017,Adult,Mature,6,7,2017,3,23,2017
47717,Police Assist,Pitbull/Mix,Dog,Female,Adoption,03/23/2017,01/30/2018,Adult,Mature,1,30,2018,3,23,2017
47718,Abandoned,American Staffordshire Terrier,Dog,Male,Adoption,03/23/2017,05/07/2017,Mature,Mature,5,7,2017,3,23,2017
47718,Abandoned,American Staffordshire Terrier,Dog,Male,Adoption,03/23/2017,09/15/2017,Mature,Mature,9,15,2017,3,23,2017
47721,Incompatible with owner lifestyle,Terrier,Dog,Male,Adoption,03/24/2017,04/05/2017,Adult,Adult,4,5,2017,3,24,2017
47721,Incompatible with owner lifestyle,Terrier,Dog,Male,Adoption,03/24/2017,06/29/2017,Adult,Adult,6,29,2017,3,24,2017
47727,Abandoned,Terrier/Beagle,Dog,Male,Adoption,03/24/2017,04/08/2017,Senior,Senior,4,8,2017,3,24,2017
47727,Abandoned,Terrier/Beagle,Dog,Male,Adoption,03/24/2017,11/15/2017,Senior,Senior,11,15,2017,3,24,2017
47728,Abandoned,Rat Terrier,Dog,Male,Adoption,03/24/2017,04/05/2017,Geriatric,Geriatric,4,5,2017,3,24,2017
47730,Abandoned,Domestic Short Hair,Cat,Male,Adoption,03/24/2017,04/07/2017,Adult,Adult,4,7,2017,3,24,2017
47738,Biting,Australian Shepherd/Border Collie,Dog,Male,Reclaimed,03/25/2017,04/04/2017,Adult,Mature,4,4,2017,3,25,2017
47742,Abandoned,Mastiff/Mix,Dog,Male,Adoption,03/25/2017,04/17/2017,Adult,Adult,4,17,2017,3,25,2017
47744,Abandoned,Pitbull/Labrador Retriever,Dog,Female,Foster,03/25/2017,04/15/2017,Adult,Adult,4,15,2017,3,25,2017
47744,Abandoned,Pitbull/Labrador Retriever,Dog,Female,Adoption,03/25/2017,05/27/2017,Adult,Adult,5,27,2017,3,25,2017
47747,Abandoned,Border Collie/Mix,Dog,Female,Foster,03/27/2017,03/29/2017,Adult,Adult,3,29,2017,3,27,2017
