id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,movementDate1,movementDate2,movementDate3,movementDate1R
47635,Abandoned,Ed,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/07/2017,Adult,5,7,2017,May
47636,Abandoned,Tux,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47636,Abandoned,Tux,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/04/2017,Adult,5,4,2017,May
47637,Abandoned,Trouble,Domestic Short Hair,White,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47637,Abandoned,Trouble,Domestic Short Hair,White,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/07/2017,Adult,5,7,2017,May
47638,Abandoned,Samantha,Domestic Short Hair,Black and White,Cat,6 years 3 months.,Female,Foster,03/11/2017,04/06/2017,Adult,4,6,2017,April
47638,Abandoned,Samantha,Domestic Short Hair,Black and White,Cat,6 years 3 months.,Female,Adoption,03/11/2017,05/06/2017,Adult,5,6,2017,May
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,03/31/2017,Adult,3,31,2017,March
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,04/02/2017,Adult,4,2,2017,April
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,03/22/2019,Adult,3,22,2019,March
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Foster,03/11/2017,05/15/2019,Adult,5,15,2019,May
47639,Abandoned,Apollo,Labrador Retriever/Collie,Black,Dog,4 years 1 month.,Male,Adoption,03/11/2017,06/12/2019,Adult,6,12,2019,June
47659,Abandoned,Earl,Domestic Medium Hair,White,Cat,3 years 11 months.,Male,Adoption,03/14/2017,04/07/2017,Adult,4,7,2017,April
47661,Abandoned,Conner,Domestic Short Hair,Black,Cat,5 years 3 months.,Male,Adoption,03/15/2017,04/26/2017,Adult,4,26,2017,April
47662,Abandoned,Carol,Shep Mix/Great Dane,Black and Brown,Dog,8 years 6 months.,Female,Adoption,03/15/2017,04/01/2017,Mature,4,1,2017,April
47665,Abandoned,Jynx,Bully Breed Mix/Mix,Black,Dog,6 years 11 months.,Female,Adoption,03/15/2017,04/08/2017,Adult,4,8,2017,April
47665,Abandoned,Jynx,Bully Breed Mix/Mix,Black,Dog,6 years 11 months.,Female,Adoption,03/15/2017,06/09/2017,Adult,6,9,2017,June
47681,Abandoned,Sisqo`,Siberian Husky/Affenpinscher,Black and White,Dog,5 years 6 months.,Male,Transfer,03/18/2017,04/12/2017,Adult,4,12,2017,April
47683,Abandoned,Larry,Hound/German Shorthaired Pointer,Red,Dog,4 years 9 months.,Male,Adoption,03/18/2017,04/12/2017,Adult,4,12,2017,April
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,18 years 3 months.,Female,Foster,03/18/2017,04/26/2017,Geriatric,4,26,2017,April
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,18 years 3 months.,Female,Foster,03/18/2017,07/27/2017,Geriatric,7,27,2017,July
47684,Abandoned,Gabby (Sage),Domestic Short Hair,Grey,Cat,18 years 3 months.,Female,Adoption,03/18/2017,07/31/2017,Geriatric,7,31,2017,July
47685,Abandoned,Suzette,Domestic Short Hair,Tortoiseshell,Cat,19 years 3 months.,Female,Adoption,03/18/2017,04/13/2017,Geriatric,4,13,2017,April
47685,Abandoned,Suzette,Domestic Short Hair,Tortoiseshell,Cat,19 years 3 months.,Female,Transfer,03/18/2017,05/14/2018,Geriatric,5,14,2018,May
47688,Abandoned,Beyonce,Domestic Short Hair,Grey and White,Cat,4 years 5 months.,Female,Foster,03/18/2017,03/20/2017,Adult,3,20,2017,March
47688,Abandoned,Beyonce,Domestic Short Hair,Grey and White,Cat,4 years 5 months.,Female,Adoption,03/18/2017,04/26/2017,Adult,4,26,2017,April
47695,Abandoned,Earnest,Labrador Retriever/German Shepherd Dog,Black,Dog,3 years 10 months.,Male,Adoption,03/20/2017,03/31/2017,Adult,3,31,2017,March
47696,Abandoned,Pepsi,Domestic Short Hair,Grey and White,Cat,4 years 3 months.,Male,Adoption,03/20/2017,04/07/2017,Adult,4,7,2017,April
47697,Abandoned,William,Domestic Short Hair,Fawn,Cat,5 years 4 months.,Male,Adoption,03/21/2017,04/21/2017,Adult,4,21,2017,April
47698,Stray,Amal Clooney,Domestic Short Hair,Black,Cat,6 years 7 months.,Female,Foster,03/21/2017,03/26/2017,Adult,3,26,2017,March
47698,Stray,Amal Clooney,Domestic Short Hair,Black,Cat,6 years 7 months.,Female,Adoption,03/21/2017,06/21/2017,Adult,6,21,2017,June
47702,Abandoned,Sadie,Boxer/Shep Mix,Brindle,Dog,10 years 3 months.,Female,Adoption,03/21/2017,04/08/2017,Mature,4,8,2017,April
47703,Abandoned,Promise,Domestic Long Hair,Black,Cat,4 years 4 months.,Female,Foster,03/21/2017,04/08/2017,Adult,4,8,2017,April
47703,Abandoned,Promise,Domestic Long Hair,Black,Cat,4 years 4 months.,Female,Adoption,03/21/2017,05/03/2017,Adult,5,3,2017,May
