id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakeDate,movementDate,CatAgeGroup,DogAgeGroup,movementMonth,movementDay,movementYear,intakeMonth,intakeDay,intakeYear
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/18/2017,Adult,Adult,04,18,2017,03,11,2017
47631,Abandoned,Boomer,DLH/Unknown,Orange,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/11/2017,Adult,Adult,05,11,2017,03,11,2017
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/18/2017,Adult,Adult,04,18,2017,03,11,2017
47632,Abandoned,Evan,DSH/Unknown,Brown,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/11/2017,Adult,Adult,05,11,2017,03,11,2017
47633,Abandoned,Beaux,DSH/Unknown,Brown and Black,Cat,3 years 5 months.,Female,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47633,Abandoned,Beaux,DSH/Unknown,Brown and Black,Cat,3 years 5 months.,Female,Adoption,03/11/2017,05/16/2017,Adult,Adult,05,16,2017,03,11,2017
47634,Abandoned,Dusty,Domestic Short Hair,Seal,Cat,3 years 4 months.,Female,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47634,Abandoned,Dusty,Domestic Short Hair,Seal,Cat,3 years 4 months.,Female,Adoption,03/11/2017,05/04/2017,Adult,Adult,05,04,2017,03,11,2017
47635,Abandoned,Ed,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Foster,03/11/2017,04/06/2017,Adult,Adult,04,06,2017,03,11,2017
47635,Abandoned,Ed,Domestic Short Hair,Black and White,Cat,3 years 4 months.,Male,Adoption,03/11/2017,05/07/2017,Adult,Adult,05,07,2017,03,11,2017
